Function,Synopsis,Parameter,Type,Mandatory,IsSwitch,Aliases,ParameterSets,AcceptsPipeline,Description
Show-ADTInstallationWelcome,Show a welcome dialog prompting the user with information about the deployment and actions to be performed before the deployment can begin.,PromptToSave,SwitchParameter,FALSE,TRUE,,"Interactive, and with processes to close., Interactive, with processes to close, and a free disk space check., Interactive, with processes to close, and with a close processes countdown if the user has no available deferrals., Interactive, with processes to close, and with a close processes countdown irrespective of whether the user can defer or not., Interactive, with processes to close, and with deferral allowed irrespective of whether processes to close are open., Interactive, with processes to close, and with deferral allowed only if the processes to close are open., Interactive, with processes to close, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and with a close processes countdown if the user has no available deferrals., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and with a close processes countdown irrespective of whether the user can defer or not., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and with a continue/defer countdown depending on whether processes to close are open or not., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a continue/defer countdown depending on whether processes to close are open or not, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and with a close processes countdown if the user has no available deferrals., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and with a close processes countdown irrespective of whether the user can defer or not., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and with a continue/defer countdown depending on whether processes to close are open or not., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a continue/defer countdown depending on whether processes to close are open or not, and a free disk space check.",FALSE,"Specify whether to prompt to save working documents when the user chooses to close applications by selecting the ""Close Programs"" button. Option does not work in SYSTEM context unless toolkit launched with ""psexec.exe -s -i"" to run it as an interactive process under the SYSTEM account."
Show-ADTInstallationWelcome,Show a welcome dialog prompting the user with information about the deployment and actions to be performed before the deployment can begin.,PersistPrompt,SwitchParameter,FALSE,TRUE,,"Interactive, and with a free disk space check., Interactive, and with deferral allowed., Interactive, and with processes to close., Interactive, with deferral allowed, and a free disk space check., Interactive, with deferral allowed, and with a continue countdown irrespective of deferrals., Interactive, with deferral allowed, with a continue countdown irrespective of deferrals, and a free disk space check., Interactive, with no modifying options., Interactive, with processes to close, and a free disk space check., Interactive, with processes to close, and with a close processes countdown if the user has no available deferrals., Interactive, with processes to close, and with a close processes countdown irrespective of whether the user can defer or not., Interactive, with processes to close, and with deferral allowed irrespective of whether processes to close are open., Interactive, with processes to close, and with deferral allowed only if the processes to close are open., Interactive, with processes to close, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and with a close processes countdown if the user has no available deferrals., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and with a close processes countdown irrespective of whether the user can defer or not., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and with a continue/defer countdown depending on whether processes to close are open or not., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a continue/defer countdown depending on whether processes to close are open or not, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and with a close processes countdown if the user has no available deferrals., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and with a close processes countdown irrespective of whether the user can defer or not., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and with a continue/defer countdown depending on whether processes to close are open or not., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a continue/defer countdown depending on whether processes to close are open or not, and a free disk space check.",FALSE,"Specify whether to make the Show-ADTInstallationWelcome prompt persist in the center of the screen every couple of seconds, specified in the config.psd1. The user will have no option but to respond to the prompt. This only takes effect if deferral is not allowed or has expired."
Show-ADTInstallationWelcome,Show a welcome dialog prompting the user with information about the deployment and actions to be performed before the deployment can begin.,MinimizeWindows,SwitchParameter,FALSE,TRUE,,"Interactive, and with a free disk space check., Interactive, and with deferral allowed., Interactive, and with processes to close., Interactive, with deferral allowed, and a free disk space check., Interactive, with deferral allowed, and with a continue countdown irrespective of deferrals., Interactive, with deferral allowed, with a continue countdown irrespective of deferrals, and a free disk space check., Interactive, with no modifying options., Interactive, with processes to close, and a free disk space check., Interactive, with processes to close, and with a close processes countdown if the user has no available deferrals., Interactive, with processes to close, and with a close processes countdown irrespective of whether the user can defer or not., Interactive, with processes to close, and with deferral allowed irrespective of whether processes to close are open., Interactive, with processes to close, and with deferral allowed only if the processes to close are open., Interactive, with processes to close, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and with a close processes countdown if the user has no available deferrals., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and with a close processes countdown irrespective of whether the user can defer or not., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and with a continue/defer countdown depending on whether processes to close are open or not., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a continue/defer countdown depending on whether processes to close are open or not, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and with a close processes countdown if the user has no available deferrals., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and with a close processes countdown irrespective of whether the user can defer or not., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and with a continue/defer countdown depending on whether processes to close are open or not., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a continue/defer countdown depending on whether processes to close are open or not, and a free disk space check.",FALSE,Specifies whether to minimize other windows when displaying prompt.
Show-ADTInstallationWelcome,Show a welcome dialog prompting the user with information about the deployment and actions to be performed before the deployment can begin.,NoMinimizeWindows,SwitchParameter,FALSE,TRUE,,"Interactive, and with a free disk space check., Interactive, and with deferral allowed., Interactive, and with processes to close., Interactive, with deferral allowed, and a free disk space check., Interactive, with deferral allowed, and with a continue countdown irrespective of deferrals., Interactive, with deferral allowed, with a continue countdown irrespective of deferrals, and a free disk space check., Interactive, with no modifying options., Interactive, with processes to close, and a free disk space check., Interactive, with processes to close, and with a close processes countdown if the user has no available deferrals., Interactive, with processes to close, and with a close processes countdown irrespective of whether the user can defer or not., Interactive, with processes to close, and with deferral allowed irrespective of whether processes to close are open., Interactive, with processes to close, and with deferral allowed only if the processes to close are open., Interactive, with processes to close, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and with a close processes countdown if the user has no available deferrals., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and with a close processes countdown irrespective of whether the user can defer or not., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and with a continue/defer countdown depending on whether processes to close are open or not., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a continue/defer countdown depending on whether processes to close are open or not, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and with a close processes countdown if the user has no available deferrals., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and with a close processes countdown irrespective of whether the user can defer or not., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and with a continue/defer countdown depending on whether processes to close are open or not., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a continue/defer countdown depending on whether processes to close are open or not, and a free disk space check.",FALSE,This parameter will be removed in PSAppDeployToolkit 4.2.0.
Show-ADTInstallationWelcome,Show a welcome dialog prompting the user with information about the deployment and actions to be performed before the deployment can begin.,NotTopMost,SwitchParameter,FALSE,TRUE,,"Interactive, and with a free disk space check., Interactive, and with deferral allowed., Interactive, and with processes to close., Interactive, with deferral allowed, and a free disk space check., Interactive, with deferral allowed, and with a continue countdown irrespective of deferrals., Interactive, with deferral allowed, with a continue countdown irrespective of deferrals, and a free disk space check., Interactive, with no modifying options., Interactive, with processes to close, and a free disk space check., Interactive, with processes to close, and with a close processes countdown if the user has no available deferrals., Interactive, with processes to close, and with a close processes countdown irrespective of whether the user can defer or not., Interactive, with processes to close, and with deferral allowed irrespective of whether processes to close are open., Interactive, with processes to close, and with deferral allowed only if the processes to close are open., Interactive, with processes to close, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and with a close processes countdown if the user has no available deferrals., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and with a close processes countdown irrespective of whether the user can defer or not., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and with a continue/defer countdown depending on whether processes to close are open or not., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a continue/defer countdown depending on whether processes to close are open or not, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and with a close processes countdown if the user has no available deferrals., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and with a close processes countdown irrespective of whether the user can defer or not., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and with a continue/defer countdown depending on whether processes to close are open or not., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a continue/defer countdown depending on whether processes to close are open or not, and a free disk space check.",FALSE,Specifies whether the windows is the topmost window.
Show-ADTInstallationWelcome,Show a welcome dialog prompting the user with information about the deployment and actions to be performed before the deployment can begin.,AllowMove,SwitchParameter,FALSE,TRUE,,"Interactive, and with a free disk space check., Interactive, and with deferral allowed., Interactive, and with processes to close., Interactive, with deferral allowed, and a free disk space check., Interactive, with deferral allowed, and with a continue countdown irrespective of deferrals., Interactive, with deferral allowed, with a continue countdown irrespective of deferrals, and a free disk space check., Interactive, with no modifying options., Interactive, with processes to close, and a free disk space check., Interactive, with processes to close, and with a close processes countdown if the user has no available deferrals., Interactive, with processes to close, and with a close processes countdown irrespective of whether the user can defer or not., Interactive, with processes to close, and with deferral allowed irrespective of whether processes to close are open., Interactive, with processes to close, and with deferral allowed only if the processes to close are open., Interactive, with processes to close, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and with a close processes countdown if the user has no available deferrals., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and with a close processes countdown irrespective of whether the user can defer or not., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and with a continue/defer countdown depending on whether processes to close are open or not., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a continue/defer countdown depending on whether processes to close are open or not, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and with a close processes countdown if the user has no available deferrals., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and with a close processes countdown irrespective of whether the user can defer or not., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and with a continue/defer countdown depending on whether processes to close are open or not., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a continue/defer countdown depending on whether processes to close are open or not, and a free disk space check.",FALSE,Specifies that the user can move the dialog on the screen.
Show-ADTInstallationWelcome,Show a welcome dialog prompting the user with information about the deployment and actions to be performed before the deployment can begin.,CustomText,SwitchParameter,FALSE,TRUE,,"Interactive, and with a free disk space check., Interactive, and with deferral allowed., Interactive, and with processes to close., Interactive, with deferral allowed, and a free disk space check., Interactive, with deferral allowed, and with a continue countdown irrespective of deferrals., Interactive, with deferral allowed, with a continue countdown irrespective of deferrals, and a free disk space check., Interactive, with no modifying options., Interactive, with processes to close, and a free disk space check., Interactive, with processes to close, and with a close processes countdown if the user has no available deferrals., Interactive, with processes to close, and with a close processes countdown irrespective of whether the user can defer or not., Interactive, with processes to close, and with deferral allowed irrespective of whether processes to close are open., Interactive, with processes to close, and with deferral allowed only if the processes to close are open., Interactive, with processes to close, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and with a close processes countdown if the user has no available deferrals., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and with a close processes countdown irrespective of whether the user can defer or not., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and with a continue/defer countdown depending on whether processes to close are open or not., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a continue/defer countdown depending on whether processes to close are open or not, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and with a close processes countdown if the user has no available deferrals., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and with a close processes countdown irrespective of whether the user can defer or not., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and with a continue/defer countdown depending on whether processes to close are open or not., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a continue/defer countdown depending on whether processes to close are open or not, and a free disk space check.",FALSE,Specify whether to display a custom message as specified in the `strings.psd1` file below the main preamble. Custom message must be populated for each language section in the `strings.psd1` file.
Show-ADTInstallationWelcome,Show a welcome dialog prompting the user with information about the deployment and actions to be performed before the deployment can begin.,CheckDiskSpace,SwitchParameter,TRUE,TRUE,,"Interactive, and with a free disk space check., Interactive, with deferral allowed, and a free disk space check., Interactive, with deferral allowed, with a continue countdown irrespective of deferrals, and a free disk space check., Interactive, with processes to close, and a free disk space check., Interactive, with processes to close, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a continue/defer countdown depending on whether processes to close are open or not, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a continue/defer countdown depending on whether processes to close are open or not, and a free disk space check., Silent, and with a free disk space check., Silent, with processes to close, and a free disk space check.",FALSE,"Specify whether to check if there is enough disk space for the deployment to proceed. If this parameter is specified without the RequiredDiskSpace parameter, the required disk space is calculated automatically based on the size of the script source and associated files."
Show-ADTInstallationWelcome,Show a welcome dialog prompting the user with information about the deployment and actions to be performed before the deployment can begin.,RequiredDiskSpace,Nullable`1,FALSE,FALSE,,"Interactive, and with a free disk space check., Interactive, with deferral allowed, and a free disk space check., Interactive, with deferral allowed, with a continue countdown irrespective of deferrals, and a free disk space check., Interactive, with processes to close, and a free disk space check., Interactive, with processes to close, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed irrespective of whether processes to close are open, with a continue/defer countdown depending on whether processes to close are open or not, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a close processes countdown if the user has no available deferrals, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a close processes countdown irrespective of whether the user can defer or not, and a free disk space check., Interactive, with processes to close, with deferral allowed only if the processes to close are open, with a continue/defer countdown depending on whether processes to close are open or not, and a free disk space check., Silent, and with a free disk space check., Silent, with processes to close, and a free disk space check.",FALSE,"Specify required disk space in MB, used in combination with CheckDiskSpace."
Show-ADTInstallationWelcome,Show a welcome dialog prompting the user with information about the deployment and actions to be performed before the deployment can begin.,Title,String,TRUE,FALSE,,__AllParameterSets,FALSE,
Show-ADTInstallationWelcome,Show a welcome dialog prompting the user with information about the deployment and actions to be performed before the deployment can begin.,Subtitle,String,TRUE,FALSE,,__AllParameterSets,FALSE,
Start-ADTMsiProcess,"Executes msiexec.exe to perform actions such as install, uninstall, patch, repair, or active setup for MSI and MSP files or MSI product codes.",Action,String,FALSE,FALSE,,__AllParameterSets,FALSE,"Specifies the action to be performed. Available options: Install, Uninstall, Patch, Repair, ActiveSetup."
Start-ADTMsiProcess,"Executes msiexec.exe to perform actions such as install, uninstall, patch, repair, or active setup for MSI and MSP files or MSI product codes.",FilePath,String,TRUE,FALSE,,"FilePath, FilePath_NoWait, RunAsActiveUser_FilePath, RunAsActiveUser_FilePath_NoWait, UseUnelevatedToken_FilePath, UseUnelevatedToken_FilePath_NoWait",TRUE,"The file path to the MSI/MSP file. If the specified FilePath is just a file name, the function will look within `$adtSession.DirFiles` for the specified file, so long as a session is active."
Start-ADTMsiProcess,"Executes msiexec.exe to perform actions such as install, uninstall, patch, repair, or active setup for MSI and MSP files or MSI product codes.",ProductCode,Guid,TRUE,FALSE,,"ProductCode, ProductCode_NoWait, RunAsActiveUser_ProductCode, RunAsActiveUser_ProductCode_NoWait, UseUnelevatedToken_ProductCode, UseUnelevatedToken_ProductCode_NoWait",TRUE,The product code of the installed MSI.
Start-ADTMsiProcess,"Executes msiexec.exe to perform actions such as install, uninstall, patch, repair, or active setup for MSI and MSP files or MSI product codes.",InstalledApplication,InstalledApplication,TRUE,FALSE,,"InstalledApplication, InstalledApplication_NoWait, RunAsActiveUser_InstalledApplication, RunAsActiveUser_InstalledApplication_NoWait, UseUnelevatedToken_InstalledApplication, UseUnelevatedToken_InstalledApplication_NoWait",TRUE,The InstalledApplication object of the installed MSI.
Start-ADTMsiProcess,"Executes msiexec.exe to perform actions such as install, uninstall, patch, repair, or active setup for MSI and MSP files or MSI product codes.",ArgumentList,String[],FALSE,FALSE,,__AllParameterSets,FALSE,Overrides the default parameters specified in the config.psd1 file.
Start-ADTMsiProcess,"Executes msiexec.exe to perform actions such as install, uninstall, patch, repair, or active setup for MSI and MSP files or MSI product codes.",AdditionalArgumentList,String[],FALSE,FALSE,,__AllParameterSets,FALSE,Adds additional parameters to the default set specified in the config.psd1 file.
Start-ADTMsiProcess,"Executes msiexec.exe to perform actions such as install, uninstall, patch, repair, or active setup for MSI and MSP files or MSI product codes.",SecureArgumentList,SwitchParameter,FALSE,TRUE,,__AllParameterSets,FALSE,Hides all parameters passed to the MSI or MSP file from the toolkit log file.
Start-ADTMsiProcess,"Executes msiexec.exe to perform actions such as install, uninstall, patch, repair, or active setup for MSI and MSP files or MSI product codes.",WorkingDirectory,String,FALSE,FALSE,,__AllParameterSets,FALSE,Overrides the working directory. The working directory is set to the location of the MSI file.
Start-ADTMsiProcess,"Executes msiexec.exe to perform actions such as install, uninstall, patch, repair, or active setup for MSI and MSP files or MSI product codes.",Transforms,String[],FALSE,FALSE,,__AllParameterSets,FALSE,The name(s) of the transform file(s) to be applied to the MSI. The transform files should be in the same directory as the MSI file.
Start-ADTMsiProcess,"Executes msiexec.exe to perform actions such as install, uninstall, patch, repair, or active setup for MSI and MSP files or MSI product codes.",Patches,String[],FALSE,FALSE,,__AllParameterSets,FALSE,"The name(s) of the patch (MSP) file(s) to be applied to the MSI for the ""Install"" action. The patch files should be in the same directory as the MSI file."
Start-ADTMsiProcess,"Executes msiexec.exe to perform actions such as install, uninstall, patch, repair, or active setup for MSI and MSP files or MSI product codes.",RunAsActiveUser,RunAsActiveUser,TRUE,FALSE,,"RunAsActiveUser_FilePath, RunAsActiveUser_FilePath_NoWait, RunAsActiveUser_InstalledApplication, RunAsActiveUser_InstalledApplication_NoWait, RunAsActiveUser_ProductCode, RunAsActiveUser_ProductCode_NoWait",FALSE,A RunAsActiveUser object to invoke the process as.
Start-ADTMsiProcess,"Executes msiexec.exe to perform actions such as install, uninstall, patch, repair, or active setup for MSI and MSP files or MSI product codes.",UseLinkedAdminToken,SwitchParameter,FALSE,TRUE,,"RunAsActiveUser_FilePath, RunAsActiveUser_FilePath_NoWait, RunAsActiveUser_InstalledApplication, RunAsActiveUser_InstalledApplication_NoWait, RunAsActiveUser_ProductCode, RunAsActiveUser_ProductCode_NoWait",FALSE,Use a user's linked administrative token while running the process under their context.
Start-ADTMsiProcess,"Executes msiexec.exe to perform actions such as install, uninstall, patch, repair, or active setup for MSI and MSP files or MSI product codes.",UseHighestAvailableToken,SwitchParameter,FALSE,TRUE,,"RunAsActiveUser_FilePath, RunAsActiveUser_FilePath_NoWait, RunAsActiveUser_InstalledApplication, RunAsActiveUser_InstalledApplication_NoWait, RunAsActiveUser_ProductCode, RunAsActiveUser_ProductCode_NoWait",FALSE,Use a user's linked administrative token if it's available while running the process under their context.
Start-ADTMsiProcess,"Executes msiexec.exe to perform actions such as install, uninstall, patch, repair, or active setup for MSI and MSP files or MSI product codes.",InheritEnvironmentVariables,SwitchParameter,FALSE,TRUE,,"RunAsActiveUser_FilePath, RunAsActiveUser_FilePath_NoWait, RunAsActiveUser_InstalledApplication, RunAsActiveUser_InstalledApplication_NoWait, RunAsActiveUser_ProductCode, RunAsActiveUser_ProductCode_NoWait",FALSE,Specifies whether the process running as a user should inherit the SYSTEM account's environment variables.
Start-ADTMsiProcess,"Executes msiexec.exe to perform actions such as install, uninstall, patch, repair, or active setup for MSI and MSP files or MSI product codes.",DenyUserTermination,SwitchParameter,FALSE,TRUE,,"RunAsActiveUser_FilePath, RunAsActiveUser_FilePath_NoWait, RunAsActiveUser_InstalledApplication, RunAsActiveUser_InstalledApplication_NoWait, RunAsActiveUser_ProductCode, RunAsActiveUser_ProductCode_NoWait",FALSE,"Specifies that users cannot terminate the process started in their context. The user will still be able to terminate the process if they're an administrator, though."
Start-ADTMsiProcess,"Executes msiexec.exe to perform actions such as install, uninstall, patch, repair, or active setup for MSI and MSP files or MSI product codes.",UseUnelevatedToken,SwitchParameter,TRUE,TRUE,,"UseUnelevatedToken_FilePath, UseUnelevatedToken_FilePath_NoWait, UseUnelevatedToken_InstalledApplication, UseUnelevatedToken_InstalledApplication_NoWait, UseUnelevatedToken_ProductCode, UseUnelevatedToken_ProductCode_NoWait",FALSE,"If the current process is elevated, starts the new process unelevated using the user's unelevated linked token."
Start-ADTMsiProcess,"Executes msiexec.exe to perform actions such as install, uninstall, patch, repair, or active setup for MSI and MSP files or MSI product codes.",ExpandEnvironmentVariables,SwitchParameter,FALSE,TRUE,,__AllParameterSets,FALSE,Specifies whether to expand any Windows/DOS-style environment variables in the specified FilePath/ArgumentList.
Start-ADTMsiProcess,"Executes msiexec.exe to perform actions such as install, uninstall, patch, repair, or active setup for MSI and MSP files or MSI product codes.",LoggingOptions,String,FALSE,FALSE,,__AllParameterSets,FALSE,Overrides the default logging options specified in the config.psd1 file.
Start-ADTMsiProcess,"Executes msiexec.exe to perform actions such as install, uninstall, patch, repair, or active setup for MSI and MSP files or MSI product codes.",LogFileName,String,FALSE,FALSE,,__AllParameterSets,FALSE,"Overrides the default log file name. The default log file name is generated from the MSI file name. If LogFileName does not end in .log, it will be automatically appended. For uninstallations, by default the product code is resolved to the DisplayName and version of the application."
